PLAYER,TEAM,MIN,AST per game,AST per 75 poss,Wght AST per game,Wght AST per 75 poss,Wght AST per touch,Wght AST per 75 touches,AST Value
JaMychal Green,LAC,1371.0,0.77,1.33,0.87,1.51,0.02,1.71,1.13
JaVale McGee,LAL,1671.0,0.69,1.09,0.78,1.23,0.02,1.79,1.12
Jabari Parker,WAS,1720.0,2.4,3.15,2.78,3.66,0.05,3.5,1.16
Jae Crowder,UTA,2140.0,1.68,2.2,1.96,2.56,0.04,2.86,1.17
Jahlil Okafor,NOP,935.0,0.68,1.52,0.69,1.54,0.02,1.87,1.01
Jake Layman,POR,1327.0,0.75,1.45,0.84,1.64,0.04,2.9,1.13
Jakob Poeltl,SAS,1273.0,1.21,2.7,1.09,2.44,0.04,3.22,0.9
Jalen Brunson,DAL,1591.0,3.15,5.3,3.4,5.73,0.07,5.57,1.08
Jamal Crawford,PHX,1211.0,3.58,6.7,4.19,7.84,0.11,8.31,1.17
Jamal Murray,DEN,2447.0,4.84,5.5,5.32,6.04,0.07,5.19,1.1
James Ennis III,PHI,1230.0,0.71,1.23,0.77,1.35,0.04,3.04,1.1
James Harden,HOU,2867.0,7.51,7.61,9.03,9.14,0.1,7.76,1.2
James Johnson,MIA,1164.0,2.45,4.31,2.66,4.68,0.07,5.22,1.09
Jared Dudley,BKN,1220.0,1.41,2.5,1.61,2.86,0.04,3.31,1.14
Jaren Jackson Jr.,MEM,1515.0,1.1,1.62,1.18,1.73,0.03,2.19,1.07
Jarrett Allen,BKN,2096.0,1.38,1.88,1.38,1.89,0.03,2.44,1.01
Jaylen Brown,BOS,1913.0,1.35,1.89,1.46,2.04,0.05,3.43,1.08
Jayson Tatum,BOS,2455.0,2.13,2.49,2.26,2.65,0.05,3.73,1.06
Jeff Green,WAS,2076.0,1.79,2.34,2.08,2.72,0.05,3.98,1.16
Jeff Teague,MIN,1264.0,8.17,9.74,9.18,10.95,0.13,9.87,1.12
Jerami Grant,OKC,2578.0,0.99,1.06,1.06,1.13,0.02,1.57,1.07
Jeremy Lamb,CHA,2250.0,2.18,2.81,2.6,3.37,0.06,4.63,1.2
Jeremy Lin,TOR,1436.0,3.12,5.61,3.46,6.22,0.08,5.97,1.11
Jerian Grant,ORL,910.0,2.6,6.16,2.71,6.41,0.09,6.49,1.04
Jerryd Bayless,MIN,657.0,3.5,6.73,3.85,7.39,0.09,6.54,1.1
Jimmy Butler,PHI,2147.0,4.05,4.32,4.35,4.64,0.08,6.1,1.07
Joakim Noah,MEM,693.0,2.12,4.8,2.32,5.26,0.06,4.39,1.1
Joe Harris,BKN,2294.0,2.38,2.82,2.87,3.4,0.06,4.69,1.21
Joe Ingles,UTA,2534.0,5.73,6.62,7.04,8.13,0.13,9.48,1.23
Joel Embiid,PHI,2121.0,3.62,3.86,3.66,3.91,0.04,3.16,1.01
John Collins,ATL,1828.0,1.98,2.32,2.14,2.5,0.03,2.43,1.08
John Wall,WAS,1104.0,8.72,8.85,9.61,9.76,0.12,8.7,1.1
Jonah Bolden,PHI,626.0,0.91,2.2,0.99,2.4,0.04,2.81,1.09
Jonas Jerebko,GSW,1218.0,1.32,2.84,1.33,2.87,0.04,3.36,1.01
Jonas Valanciunas,MEM,1091.0,1.43,2.32,1.54,2.5,0.03,2.26,1.08
Jonathan Isaac,ORL,1937.0,1.07,1.49,1.13,1.57,0.02,1.84,1.06
Jonathon Simmons,PHI,1022.0,2.33,4.39,2.51,4.72,0.1,7.28,1.08
Jordan Bell,GSW,788.0,1.12,3.51,1.21,3.81,0.05,4.06,1.09
Jordan Clarkson,CLE,2215.0,2.42,3.29,2.64,3.59,0.06,4.35,1.09
Jose Calderon,DET,632.0,2.35,6.69,2.67,7.63,0.09,6.44,1.14
Josh Hart,LAL,1715.0,1.39,1.89,1.6,2.18,0.05,3.92,1.15
Josh Jackson,PHX,1988.0,2.32,3.32,2.76,3.95,0.07,5.12,1.19
Josh Okogie,MIN,1757.0,1.23,1.84,1.4,2.09,0.06,4.47,1.14
Josh Richardson,MIA,2539.0,4.08,4.36,4.51,4.82,0.07,5.02,1.11
Jrue Holiday,NOP,2402.0,7.73,7.58,8.93,8.75,0.1,7.76,1.15
Juancho Hernangomez,DEN,1358.0,0.79,1.5,0.88,1.67,0.04,2.88,1.12
Julius Randle,NOP,2232.0,3.14,3.61,3.38,3.89,0.06,4.26,1.08
Justin Holiday,MEM,2568.0,1.78,2.07,1.99,2.31,0.05,4.07,1.12
Justin Jackson,DAL,1613.0,1.19,2.12,1.31,2.34,0.05,3.89,1.1
Justise Winslow,MIA,1960.0,4.27,5.31,4.85,6.03,0.07,5.25,1.13
Jusuf Nurkic,POR,1974.0,3.24,4.25,3.57,4.69,0.06,4.5,1.1
Karl-Anthony Towns,MIN,2545.0,3.36,3.67,3.89,4.25,0.05,3.98,1.16
Kawhi Leonard,TOR,2040.0,3.32,3.55,3.56,3.81,0.06,4.67,1.07
Kelly Olynyk,MIA,1812.0,1.77,2.85,2.1,3.38,0.05,3.39,1.18
Kelly Oubre Jr.,PHX,1935.0,1.22,1.53,1.4,1.77,0.04,2.71,1.15
Kemba Walker,CHA,2863.0,5.9,6.22,6.61,6.96,0.08,5.86,1.12
Kenneth Faried,HOU,728.0,0.54,0.99,0.61,1.11,0.02,1.39,1.12
Kenrich Williams,NOP,1079.0,1.8,2.68,1.93,2.86,0.06,4.39,1.07
Kent Bazemore,ATL,1643.0,2.27,3.21,2.69,3.81,0.07,5.47,1.18
Kentavious Caldwell-Pope,LAL,2035.0,1.34,1.91,1.61,2.29,0.05,3.45,1.2
Kevin Durant,GSW,2702.0,5.86,6.0,6.39,6.54,0.09,6.89,1.09
Kevin Huerter,ATL,2049.0,2.85,3.66,3.19,4.08,0.1,7.84,1.12
Kevin Knox II,NYK,2127.0,1.09,1.37,1.26,1.57,0.03,2.26,1.15
Kevon Looney,GSW,1481.0,1.54,2.98,1.6,3.09,0.06,4.26,1.04
Khem Birch,ORL,643.0,0.76,2.16,0.77,2.19,0.04,3.13,1.01
Khris Middleton,MIL,2393.0,4.3,4.84,5.0,5.63,0.09,6.74,1.16
Klay Thompson,GSW,2652.0,2.38,2.52,2.78,2.93,0.06,4.5,1.16
Kris Dunn,CHI,1364.0,6.11,7.35,6.69,8.04,0.1,7.21,1.1
Kyle Anderson,MEM,1282.0,2.98,3.81,3.38,4.33,0.08,5.69,1.14
Kyle Korver,UTA,1317.0,1.17,2.17,1.44,2.67,0.07,4.9,1.23
Kyle Kuzma,LAL,2314.0,2.54,2.69,2.81,2.98,0.06,4.2,1.11
Kyle Lowry,TOR,2213.0,8.68,9.17,9.65,10.19,0.12,8.98,1.11
Kyrie Irving,BOS,2214.0,6.93,7.48,7.18,7.76,0.09,7.01,1.04
LaMarcus Aldridge,SAS,2687.0,2.4,2.69,2.3,2.58,0.04,3.06,0.96
Lance Stephenson,LAL,1123.0,2.06,4.34,2.35,4.94,0.08,6.25,1.14
Lance Thomas,NYK,783.0,0.59,1.26,0.62,1.34,0.03,2.0,1.06
Landry Shamet,LAC,1787.0,1.49,2.31,1.67,2.6,0.07,4.97,1.13
Langston Galloway,DET,1745.0,1.06,1.8,1.21,2.04,0.05,3.79,1.14
Larry Nance Jr.,CLE,1795.0,3.19,4.49,3.36,4.72,0.07,5.21,1.05
Lauri Markkanen,CHI,1654.0,1.47,1.65,1.7,1.9,0.03,1.93,1.16
LeBron James,LAL,1937.0,8.25,8.22,9.66,9.62,0.11,8.52,1.17
Lonzo Ball,LAL,1423.0,5.43,6.26,6.44,7.43,0.1,7.49,1.19
Lou Williams,LAC,1993.0,5.36,7.0,6.4,8.36,0.11,8.27,1.19
Luka Doncic,DAL,2318.0,5.96,6.75,6.97,7.89,0.08,6.24,1.17
Luke Kennard,DET,1437.0,1.81,2.99,2.16,3.56,0.07,5.09,1.19
Luke Kornet,NYK,750.0,1.16,2.48,1.25,2.69,0.04,3.11,1.08
Malcolm Brogdon,MIL,1832.0,3.2,3.96,3.64,4.5,0.07,5.22,1.14
Malik Beasley,DEN,1879.0,1.2,1.89,1.42,2.25,0.06,4.3,1.19
Malik Monk,CHA,1258.0,1.6,3.35,1.99,4.15,0.09,6.48,1.24
Marc Gasol,TOR,2436.0,4.42,5.41,4.88,5.98,0.07,4.95,1.1
Marcin Gortat,LAC,750.0,1.38,3.18,1.39,3.2,0.04,2.99,1.0
Marco Belinelli,SAS,1815.0,1.67,2.64,1.76,2.77,0.05,4.11,1.05
Marcus Morris Sr.,BOS,2091.0,1.45,1.89,1.6,2.09,0.04,2.74,1.1
Marcus Smart,BOS,2200.0,4.01,5.34,4.37,5.81,0.09,7.03,1.09
Mario Hezonja,NYK,1187.0,1.53,2.67,1.97,3.44,0.05,3.84,1.29
Markieff Morris,OKC,1271.0,1.36,2.22,1.58,2.58,0.05,3.73,1.16
Marvin Bagley III,SAC,1568.0,1.0,1.4,1.02,1.42,0.03,1.94,1.02
Marvin Williams,CHA,2133.0,1.23,1.59,1.25,1.61,0.03,2.52,1.02
Mason Plumlee,DEN,1731.0,2.96,5.26,3.16,5.6,0.08,6.19,1.06
Matthew Dellavedova,CLE,812.0,3.77,8.19,4.3,9.33,0.11,8.27,1.14
Maurice Harkless,POR,1415.0,1.23,1.88,1.31,2.0,0.05,3.38,1.06
Maxi Kleber,DAL,1502.0,0.99,1.73,1.11,1.95,0.03,2.34,1.13
Meyers Leonard,POR,878.0,1.23,3.16,1.32,3.39,0.05,3.9,1.07
Michael Kidd-Gilchrist,CHA,1179.0,0.95,1.92,1.17,2.35,0.05,3.42,1.23
