PLAYER,TEAM,MIN,AST per game,Opt. AST per game,AST per 75 poss,Opt. AST per 75 poss,Passing Production Rating Percentile
Duncan Robinson,MIA,2128,1.38,1.85,1.74,2.31,0.156
P.J. Tucker,HOU,2467,1.6,2.22,1.65,2.29,0.153
Christian Wood,DET,1311,0.98,1.36,1.68,2.37,0.15
Avery Bradley,LAL,1186,1.29,1.59,1.89,2.33,0.147
Wendell Carter Jr.,CHI,1256,1.19,1.84,1.49,2.3,0.144
Jerami Grant,DEN,1892,1.24,1.64,1.73,2.3,0.141
Georges Niang,UTA,923,0.67,0.88,1.74,2.3,0.138
Treveon Graham,ATL,929,0.82,1.07,1.74,2.28,0.134
Danuel House Jr.,HOU,1913,1.35,1.93,1.56,2.23,0.131
Mike Scott,PHI,1207,0.82,1.07,1.71,2.23,0.128
Derrick Jones Jr.,MIA,1350,1.07,1.38,1.69,2.21,0.125
Jaren Jackson Jr.,MEM,1622,1.37,1.82,1.69,2.24,0.122
Robin Lopez,MIL,958,0.68,0.91,1.65,2.2,0.119
Michael Porter Jr.,DEN,903,0.84,1.01,1.86,2.23,0.116
Terrence Ross,ORL,1889,1.19,1.65,1.59,2.2,0.112
John Collins,ATL,1363,1.46,2.09,1.55,2.21,0.109
Maxi Kleber,DAL,1832,1.17,1.49,1.7,2.12,0.106
Abdel Nader,OKC,867,0.69,0.92,1.59,2.12,0.103
Marcus Morris Sr.,LAC,1936,1.39,1.83,1.65,2.17,0.1
Torrey Craig,DEN,1072,0.81,1.02,1.67,2.11,0.097
Terrance Ferguson,OKC,1257,0.91,1.23,1.52,2.06,0.094
Juancho Hernangomez,MIN,834,0.83,1.05,1.68,2.1,0.091
T.J. Warren,IND,2202,1.48,1.91,1.66,2.14,0.088
Rudy Gobert,UTA,2333,1.49,1.96,1.59,2.11,0.084
Gary Trent Jr.,POR,1299,1.02,1.26,1.65,2.08,0.081
Carmelo Anthony,POR,1869,1.46,1.88,1.63,2.09,0.078
Clint Capela,HOU,1279,1.23,1.93,1.32,2.06,0.075
Rodney McGruder,LAC,871,0.64,0.89,1.45,2.01,0.072
Robert Covington,HOU,2137,1.26,1.76,1.45,2.03,0.069
Kelly Oubre Jr.,PHX,1893,1.55,1.97,1.57,2.04,0.066
Keita Bates-Diop,DEN,744,0.68,0.94,1.44,1.98,0.062
Hamidou Diallo,OKC,896,0.78,1.06,1.45,1.97,0.059
Damian Jones,ATL,887,0.64,0.87,1.4,1.92,0.056
Myles Turner,IND,1826,1.16,1.51,1.47,1.91,0.053
JaMychal Green,LAC,1307,0.78,1.1,1.32,1.88,0.05
Hassan Whiteside,POR,1973,1.18,1.56,1.4,1.88,0.047
Darius Bazley,OKC,1129,0.67,0.94,1.33,1.86,0.044
Ben McLemore,HOU,1619,0.82,1.19,1.25,1.82,0.041
Timothe Luwawu-Cabarrot,BKN,853,0.62,0.94,1.2,1.84,0.038
Semi Ojeleye,BOS,1011,0.54,0.68,1.35,1.72,0.034
Tony Bradley,UTA,663,0.4,0.54,1.26,1.71,0.031
Richaun Holmes,SAC,1223,0.93,1.29,1.26,1.7,0.028
Chris Boucher,TOR,819,0.42,0.61,1.15,1.67,0.025
Dwight Howard,LAL,1306,0.65,0.85,1.28,1.66,0.022
Daniel Gafford,CHI,609,0.49,0.62,1.25,1.6,0.019
JaVale McGee,LAL,1130,0.54,0.71,1.18,1.54,0.016
Luguentz Dort,OKC,820,0.75,0.92,1.22,1.5,0.012
Sekou Doumbouya,DET,754,0.5,0.73,0.95,1.39,0.009
Dewayne Dedmon,ATL,774,0.5,0.65,1.05,1.36,0.006
Mitchell Robinson,NYK,1412,0.59,0.78,0.94,1.24,0.003
